date,725_TEU,1000_TEU,1700_TEU,2000_TEU,2750_TEU
2009-11-01,5056.0,7680.0,7581.0,7243.0,8566.0
2009-12-01,5343.0,7500.0,7195.0,7658.0,9278.0
2010-01-01,4828.0,7908.0,7946.0,7472.0,10814.0
2010-02-01,4831.0,7660.0,8373.0,7773.0,10294.0
2010-03-01,4968.0,7645.0,8121.0,8003.0,9804.0
2010-04-01,5178.0,7176.0,7642.0,7222.0,8500.0
2010-05-01,5358.0,6995.0,8044.0,7114.0,8515.0
2010-06-01,5507.0,6557.0,8103.0,8319.0,7096.0
2010-07-01,5303.0,6939.0,7142.0,7428.0,6816.0
2010-08-01,5129.0,6321.0,7316.0,6167.0,7814.0
2010-09-01,5364.0,6689.0,7639.0,5455.0,9657.0
2010-10-01,5245.0,6550.0,7154.0,6217.0,12509.0
2010-11-01,4870.0,7008.0,7482.0,6753.0,10947.0
2010-12-01,4645.0,7158.0,6703.0,7028.0,11972.0
2011-01-01,4546.0,7699.0,7869.0,8110.0,11441.0
2011-02-01,4858.0,7633.0,8631.0,6273.0,10655.0
2011-03-01,4981.0,6646.0,8245.0,7035.0,10717.0
2011-04-01,5215.0,6570.0,8352.0,8346.0,10372.0
2011-05-01,5078.0,6066.0,6726.0,7470.0,10181.0
2011-06-01,5139.0,5979.0,6357.0,7355.0,9504.0
2011-07-01,5308.0,6748.0,6628.0,7026.0,7993.0
2011-08-01,5174.0,6929.0,6340.0,6702.0,6782.0
2011-09-01,5287.0,6510.0,7233.0,6853.0,8237.0
2011-10-01,5065.0,6088.0,8646.0,8129.0,8281.0
2011-11-01,4989.0,6220.0,7688.0,9296.0,7977.0
2011-12-01,4932.0,5802.0,7226.0,8663.0,8398.0
2012-01-01,4672.0,5733.0,7560.0,9715.0,9517.0
2012-02-01,4944.0,6085.0,8638.0,9204.0,9656.0
2012-03-01,4876.0,6677.0,7655.0,9993.0,8877.0
2012-04-01,4959.0,6867.0,7869.0,9312.0,10304.0
2012-05-01,5143.0,5817.0,8983.0,8986.0,11673.0
2012-06-01,5263.0,6141.0,7633.0,8914.0,11494.0
2012-07-01,5405.0,6273.0,6915.0,10740.0,11871.0
2012-08-01,5299.0,6505.0,6938.0,10466.0,12417.0
2012-09-01,5137.0,7159.0,6895.0,9234.0,12681.0
2012-10-01,5117.0,6114.0,7683.0,9490.0,12325.0
2012-11-01,4669.0,5983.0,7884.0,8782.0,12060.0
2012-12-01,4420.0,6375.0,6788.0,8200.0,11792.0
2013-01-01,4279.0,5762.0,7425.0,8726.0,9909.0
2013-02-01,4269.0,6581.0,7201.0,8509.0,10476.0
2013-03-01,4638.0,6702.0,8180.0,8522.0,8717.0
2013-04-01,4544.0,6982.0,7699.0,8354.0,8074.0
2013-05-01,4621.0,6600.0,7357.0,8453.0,9823.0
2013-06-01,5127.0,6897.0,7839.0,8580.0,10562.0
2013-07-01,5035.0,7209.0,8313.0,7094.0,11757.0
2013-08-01,5266.0,7087.0,8452.0,7790.0,10750.0
2013-09-01,4976.0,7002.0,7240.0,7178.0,9123.0
2013-10-01,4970.0,6957.0,7756.0,6442.0,8939.0
2013-11-01,4765.0,6462.0,7153.0,6850.0,9169.0
2013-12-01,4786.0,6408.0,7509.0,7231.0,9306.0
2014-01-01,5119.0,6369.0,6741.0,6979.0,10508.0
2014-02-01,4660.0,6560.0,7350.0,7819.0,9782.0
2014-03-01,4921.0,6945.0,7008.0,6958.0,10021.0
2014-04-01,5051.0,6375.0,6477.0,6979.0,8784.0
2014-05-01,4917.0,6356.0,7329.0,6875.0,9426.0
2014-06-01,4594.0,6999.0,7636.0,7161.0,9406.0
2014-07-01,4778.0,6541.0,7327.0,7579.0,8604.0
2014-08-01,4744.0,6188.0,8376.0,7012.0,8581.0
2014-09-01,4925.0,6359.0,7951.0,7772.0,8618.0
2014-10-01,4996.0,6741.0,7943.0,7862.0,8555.0
2014-11-01,5471.0,6669.0,8083.0,6621.0,10650.0
2014-12-01,5307.0,7156.0,7636.0,5708.0,10157.0
2015-01-01,4981.0,7304.0,7992.0,6367.0,9659.0
2015-02-01,5077.0,7402.0,7625.0,6689.0,7368.0
2015-03-01,5156.0,7353.0,7443.0,6993.0,7026.0
2015-04-01,5518.0,8043.0,8403.0,7257.0,7447.0
2015-05-01,5630.0,7491.0,7602.0,7610.0,7300.0
2015-06-01,5579.0,6371.0,6199.0,8339.0,9363.0
2015-07-01,5842.0,7060.0,7685.0,7476.0,9186.0
2015-08-01,5311.0,6700.0,9301.0,6831.0,10586.0
2015-09-01,5087.0,6679.0,8620.0,6432.0,10280.0
2015-10-01,4853.0,7155.0,7204.0,7075.0,10040.0
2015-11-01,4834.0,6300.0,7210.0,8163.0,9740.0
2015-12-01,4555.0,5844.0,7229.0,7806.0,9627.0
2016-01-01,4902.0,5382.0,7302.0,6175.0,11345.0
2016-02-01,4913.0,5388.0,6786.0,5566.0,8316.0
2016-03-01,4585.0,5896.0,7463.0,5720.0,6529.0
2016-04-01,4478.0,6287.0,7904.0,6012.0,6806.0
2016-05-01,4761.0,6459.0,6974.0,6316.0,7584.0
2016-06-01,5101.0,5889.0,7668.0,6826.0,8837.0
2016-07-01,5651.0,5124.0,8984.0,6950.0,9487.0
2016-08-01,6284.0,5554.0,8752.0,7945.0,9043.0
2016-09-01,6052.0,5640.0,8277.0,7490.0,10203.0
2016-10-01,5512.0,6081.0,8065.0,7048.0,11027.0
2016-11-01,4825.0,6488.0,8380.0,7633.0,10717.0
2016-12-01,4992.0,6543.0,7163.0,6698.0,11316.0
2017-01-01,4817.0,6836.0,7472.0,7329.0,11012.0
2017-02-01,4802.0,6824.0,7349.0,7578.0,9925.0
2017-03-01,4739.0,6938.0,8635.0,7586.0,10484.0
2017-04-01,4821.0,6514.0,8295.0,8750.0,10260.0
2017-05-01,5204.0,6432.0,9187.0,8090.0,9988.0
2017-06-01,5228.0,6528.0,8112.0,9417.0,11340.0
2017-07-01,5159.0,6850.0,8396.0,8821.0,8175.0
2017-08-01,4874.0,6579.0,8431.0,7703.0,7042.0
2017-09-01,4502.0,6763.0,7726.0,7818.0,6490.0
2017-10-01,4562.0,6571.0,7875.0,7135.0,6968.0
2017-11-01,4721.0,6497.0,8614.0,6873.0,7416.0
2017-12-01,5324.0,6832.0,8189.0,7456.0,6416.0
2018-01-01,5304.0,5913.0,7052.0,7969.0,6264.0
2018-02-01,5520.0,5555.0,7284.0,7543.0,6288.0
2018-03-01,5271.0,5228.0,6903.0,8319.0,9782.0
2018-04-01,4912.0,4652.0,6980.0,8975.0,11541.0
2018-05-01,4721.0,4924.0,7194.0,9621.0,10452.0
2018-06-01,4651.0,5698.0,6347.0,9468.0,9740.0
2018-07-01,5372.0,5818.0,5810.0,9917.0,8419.0
2018-08-01,5081.0,6098.0,6720.0,8067.0,6699.0
2018-09-01,5325.0,6659.0,6741.0,7814.0,7372.0
2018-10-01,5026.0,7148.0,5504.0,7272.0,6920.0
2018-11-01,5311.0,6921.0,6692.0,7549.0,7560.0
2018-12-01,5364.0,7342.0,7209.0,7283.0,6420.0
2019-01-01,5255.0,7122.0,6966.0,7367.0,6501.0
2019-02-01,5209.0,6589.0,6427.0,8793.0,7511.0
2019-03-01,5012.0,6315.0,7369.0,8421.0,8447.0
2019-04-01,5171.0,5761.0,7730.0,8551.0,9155.0
2019-05-01,5039.0,5615.0,9230.0,8210.0,7830.0
2019-06-01,4739.0,5729.0,9076.0,8178.0,9182.0
2019-07-01,4515.0,6284.0,8949.0,8108.0,8394.0
2019-08-01,4749.0,7046.0,8520.0,8355.0,9344.0
2019-09-01,5292.0,6313.0,8822.0,9006.0,9335.0
2019-10-01,5290.0,6525.0,8917.0,9783.0,7897.0
2019-11-01,5213.0,6088.0,9367.0,9434.0,8002.0
2019-12-01,5268.0,6400.0,8595.0,9377.0,8789.0
2020-01-01,5582.0,6372.0,8107.0,8176.0,9600.0
2020-02-01,5509.0,5658.0,7739.0,8044.0,9377.0
2020-03-01,5287.0,6285.0,8260.0,8638.0,10974.0
2020-04-01,5542.0,6097.0,9058.0,9004.0,11543.0
2020-05-01,5537.0,5995.0,8417.0,8824.0,10616.0
2020-06-01,5832.0,5705.0,7989.0,9148.0,11023.0
2020-07-01,5674.0,5671.0,8143.0,9111.0,12547.0
2020-08-01,5184.0,6090.0,7907.0,9558.0,13643.0
2020-09-01,4802.0,6131.0,8476.0,9264.0,11068.0
2020-10-01,5349.0,6371.0,6910.0,8627.0,9582.0
2020-11-01,5751.0,6552.0,6688.0,8643.0,11068.0
2020-12-01,5519.0,7071.0,6560.0,6475.0,9444.0
2021-01-01,5302.0,6755.0,5527.0,7168.0,8030.0
2021-02-01,7590.0,9000.0,11520.0,13320.0,16875.0
2021-03-01,7683.0,11669.0,12937.0,13375.0,21950.0
2021-04-01,7873.0,12208.0,15209.0,17124.0,24329.0
2021-05-01,8909.0,13959.0,19155.0,19792.0,24764.0
2021-06-01,9024.0,14491.0,19483.0,18862.0,25016.0
2021-07-01,9334.0,14374.0,18303.0,18980.0,25106.0
2021-08-01,19080.0,28890.0,42210.0,48150.0,63338.0
2021-09-01,20374.0,32867.0,48065.0,51671.0,70527.0
2021-10-01,21703.0,35759.0,48384.0,57298.0,73125.0
2021-11-01,22113.0,36055.0,48730.0,58633.0,75667.0
2021-12-01,22618.0,36341.0,51713.0,60044.0,75758.0
2022-01-01,21908.0,37329.0,52346.0,62433.0,76193.0
2022-02-01,22202.0,36367.0,54410.0,62382.0,75851.0
2022-03-01,22093.0,36708.0,54622.0,61033.0,73233.0
2022-04-01,21869.0,36637.0,56105.0,61123.0,72963.0
2022-05-01,21847.0,36880.0,53902.0,61272.0,72243.0
2022-06-01,22046.0,36063.0,54269.0,59835.0,71201.0
2022-07-01,22679.0,34839.0,54155.0,60115.0,71765.0
2022-08-01,22236.0,33567.0,52199.0,59748.0,75252.0
2022-09-01,18604.0,26791.0,39875.0,43175.0,59400.0
2022-10-01,12169.0,15015.0,18452.0,18838.0,25988.0
2022-11-01,11373.0,14139.0,17161.0,17607.0,24197.0
2022-12-01,11150.0,14069.0,16002.0,16811.0,23157.0
2023-01-01,10877.0,13818.0,15543.0,16378.0,21466.0
2023-02-01,10886.0,13138.0,15687.0,16222.0,21097.0
2023-03-01,10519.0,12982.0,14492.0,15507.0,20956.0
2023-04-01,10126.0,12688.0,13953.0,14991.0,20111.0
2023-05-01,9970.0,12513.0,13795.0,15434.0,20168.0
2023-06-01,9977.0,12504.0,14590.0,15176.0,20213.0
2023-07-01,9965.0,12604.0,14699.0,14618.0,19606.0
2023-08-01,8225.0,10629.0,13117.0,12909.0,15353.0
2023-09-01,7324.0,9820.0,10841.0,11725.0,12311.0
2023-10-01,6731.0,8353.0,9260.0,9566.0,11513.0
2023-11-01,6933.0,7795.0,9114.0,9229.0,11207.0
2023-12-01,6901.0,8462.0,8773.0,9331.0,9820.0
2024-01-01,6143.0,7960.0,8835.0,9161.0,9707.0
2024-02-01,5764.0,8102.0,8427.0,9214.0,10198.0
2024-03-01,5183.0,7654.0,8428.0,7893.0,10591.0
2024-04-01,5011.0,7540.0,8354.0,8126.0,11845.0
2024-05-01,6713.0,9579.0,13756.0,13320.0,20353.0
2024-06-01,8427.0,10898.0,17590.0,15491.0,21193.0
2024-07-01,8491.0,11244.0,15922.0,19320.0,27809.0
2024-08-01,8580.0,12634.0,13629.0,23038.0,27468.0
2024-09-01,7765.0,12390.0,17850.0,26178.0,30768.0
2024-10-01,8360.0,13660.0,21138.0,27558.0,30884.0
2024-11-01,8248.0,14948.0,19480.0,26095.0,29888.0
2024-12-01,8483.0,15167.0,16815.0,25859.0,26057.0
2025-01-01,8443.0,14700.0,18462.0,26400.0,27049.0
2025-02-01,8875.0,15076.0,21106.0,25677.0,24628.0
2025-03-01,8200.0,14615.0,24511.0,25188.0,28605.0
2025-04-01,7899.0,15474.0,24597.0,26028.0,32623.0
2025-05-01,9799.0,13447.0,23065.0,25109.0,30241.0
2025-06-01,9124.0,13449.0,21058.0,23323.0,31041.0
2025-07-01,8763.0,11879.0,21274.0,22610.0,29294.0
2025-08-01,10232.0,11250.0,20869.0,23899.0,28289.0
2025-09-01,11888.0,13525.0,19302.0,23725.0,30735.0
2025-10-01,10654.0,14673.0,23698.0,24179.0,30622.0
2025-11-01,10262.0,13943.0,26303.0,25059.0,34535.0
2025-12-01,10404.0,12688.0,26963.0,23893.0,32286.0
